Species,Species2,Population,Sgen1,Smsy,S_25,S_75,S_avg_year,S_avg,historic_avg,prod_year,mean_prod,prod_LCI,status_prod,status_SR,status_spawn,prod_trend_old,prod_trend
PK,PKE,ADAM RIVER E,76361.10356,150771.6174,15000,141195.75,2016,181986,44860.07278,2014,0.945693636,-0.099335133,amber,green,green,green,amber
PK,PKO,ADAM RIVER O,20759.06161,46045.36998,6250,65000,2017,43365,20638.26547,2013,1.756954355,0.038944998,green,amber,amber,amber,amber
PK,PKE,AHNUHATI RIVER E,16295.1759,59092.22526,9484,92850,2014,23033,30737.58135,2012,0.90406162,-0.432445394,amber,amber,amber,red,red
PK,PKO,AHNUHATI RIVER O,1556.055484,6286.274227,3625,9750,2013,4420,6060.788978,2011,0.75298338,-0.270963469,amber,amber,amber,amber,amber
PK,PKE,AHTA RIVER E,1706.394242,9589.640638,6094,25500,2016,1064,10661.8703,2014,1.670872445,0.112548784,green,red,red,green,amber
PK,PKO,AHTA RIVER O,1117.90282,6095.190345,3000,15679,2017,632,7065.308057,2013,1.678629191,0.386447342,green,red,red,amber,amber
PK,PKE,CLUXEWE RIVER E,3313.792455,13439.80572,6000,35000,2012,30431,13061.5098,2010,1.222600515,-0.134393561,amber,green,amber,amber,amber
PK,PKO,CLUXEWE RIVER O,2448.145021,4717.949827,656.25,3815,2013,15980,1616.0258,2011,1.043846729,-0.213246539,amber,green,green,green,green
PK,PKE,EMBLEY CREEK E,9892.606892,25857.88304,7500,47382.25,2016,2417,17086.0705,2014,0.725270962,-0.788731945,amber,red,red,amber,red
PK,PKE,GLENDALE CREEK E,23556.78476,124171.2642,75000,287500,2014,334021,126442.6405,2012,1.688726325,0.485610589,green,green,green,green,green
PK,PKO,GLENDALE CREEK O,70829.99996,170659.4637,50000,211722,2013,272985,93110.34322,2011,1.089123704,0.062386413,green,green,green,green,green
PK,PKE,HOEYA SOUND CREEK E,471.3491925,2758.041046,750,7500,2000,3900,2158.419657,1998,1.555233438,0.111245093,DD,DD,DD,DD,DD
PK,PKO,HOEYA SOUND CREEK O,434.6265021,1058.856006,225,1049,2013,421,373.1003747,1995,2.043251727,-0.447799023,DD,DD,DD,DD,DD
PK,PKE,KAKWEIKEN RIVER E,53285.42929,176360.205,35000,475000,2014,733637,96211.83596,2012,1.31184591,0.240053853,green,green,green,green,amber
PK,PKO,KAKWEIKEN RIVER O,63261.16811,156097.86,35000,151627,2013,216508,76781.61468,2011,0.937435447,-0.348921295,amber,green,green,amber,amber
PK,PKE,KAMANO BAY CREEK E,1217.778519,2557.062635,67.5,3500,1992,50,561.5387416,1982,-0.479510099,-2.265057555,DD,DD,DD,DD,DD
PK,PKE,KEOGH RIVER E,13249.21341,44501.8838,26646.75,84425,2014,801473,45589.57068,2012,2.348709406,0.513021648,green,green,green,amber,amber
PK,PKO,KEOGH RIVER O,2956.718858,6621.509562,1950,15000,2013,78943,4040.107165,2011,1.330222101,0.001571818,green,green,green,amber,amber
PK,PKE,KINGCOME RIVER E,19294.61038,40659.32943,7500,40300,2014,2711,17617.60448,2012,0.365365522,-0.950289749,amber,red,red,red,red
PK,PKO,KINGCOME RIVER O,731.2616456,3514.700529,500,7500,2013,3006,1876.83722,2011,1.342038231,-0.749005807,amber,amber,amber,amber,amber
PK,PKE,KLINAKLINI RIVER E,3414.531787,8851.899754,750,3500,2002,12605,1913.713986,2000,1.435894263,-1.052534549,DD,DD,DD,DD,DD
PK,PKE,KOKISH RIVER E,1606.512912,2106.203481,662.5,3500,2016,304,1641.977308,2014,-0.186146484,-2.992509065,red,red,red,red,red
PK,PKE,KWALATE CREEK E,255.6446785,1129.00325,165,1887.5,2004,1061,556.8295345,1998,2.196935092,0.502931748,DD,DD,DD,DD,DD
PK,PKE,LULL CREEK E,1518.070821,4291.61577,400,5272.25,2016,500,1353.522624,2014,1.246101526,-0.38702491,amber,red,amber,green,amber
PK,PKO,LULL CREEK O,1637.696132,3343.356495,200,2703.75,2015,1928,760.4924987,2013,1.586374099,-0.807213206,amber,amber,amber,green,green
PK,PKE,NAHWITTI RIVER E,7561.058957,21331.31565,1000,15000,1998,1100,3641.695268,1996,0.289686215,-2.084385322,DD,DD,DD,DD,DD
PK,PKE,NIMPKISH RIVER E,345.0964433,3131.30641,1650,5250,2004,3500,2741.253902,1996,1.97647615,0.569302632,DD,DD,DD,DD,DD
PK,PKE,QUATSE RIVER E,14341.05255,31811.81904,7500,42163,2012,77232,18751.3175,2010,0.738205119,-0.724457861,amber,green,green,amber,red
PK,PKO,QUATSE RIVER O,3452.46266,7800.627596,550,3545,2013,32385,1303.451915,2011,1.248181165,-0.040565389,amber,green,green,green,green
PK,PKE,TSULQUATE RIVER E,3028.198036,7372.216764,1000,8375,2002,1200,2520.989678,1996,0.63012688,-1.140887751,DD,DD,DD,DD,DD
PK,PKE,VINER SOUND CREEK E,1332.680428,2275.380175,58.25,928,2016,46,301.987704,2014,0.114341283,-2.870242444,amber,red,red,red,red
PK,PKO,VINER SOUND CREEK O,59.45812031,289.9268674,44.75,937.5,2017,61,145.8140451,2013,2.110070955,0.005650346,green,red,amber,amber,amber
PK,PKE,WAKEMAN RIVER E,19638.85698,46730.8508,3573,72206,2014,14193,18603.15992,2012,0.983281667,-0.497013093,amber,red,amber,amber,amber
PK,PKO,WAKEMAN RIVER O,39265.1449,63285.97721,2645.25,37250,2013,6443,10947.49794,2011,0.577862201,-1.109337951,amber,red,amber,red,red
PK,PKE,AHTA VALLEY CREEK E,,,400,1500,1996,900,683.1767422,,,,,,DD,,
PK,PKE,BOUGHEY CREEK E,,,47.5,325,2000,35,114.5589702,,,,,,DD,,
PK,PKE,CARRIDEN CREEK E,,,250,2500,2016,12,659.959133,,,,,,red,,
PK,PKE,GILFORD CREEK E,,,25.5,200,2014,73,92.60722146,,,,,,amber,,
PK,PKE,MCALISTER CREEK E,,,25,700,2000,800,171.4100707,,,,,,DD,,
PK,PKE,MILLS CREEK E,,,575,2750,2004,1750,1182.660651,,,,,,DD,,
PK,PKE,NIGGER CREEK E,,,37.5,800,2000,500,199.6626341,,,,,,DD,,
PK,PKE,SHOAL HARBOUR CREEK E,,,25,175,2016,4,43.01791032,,,,,,red,,
PK,PKE,SHUSHARTIE RIVER E,,,225,7500,1998,540,1173.104315,,,,,,DD,,
PK,PKE,SONGHEES CREEK E,,,662.5,3125,1996,400,1229.233694,,,,,,DD,,
PK,PKE,STRANBY RIVER E,,,1500,15750,1998,2300,3746.812751,,,,,,DD,,
PK,PKE,TSITIKA RIVER E,,,250,4750,1998,6,919.6544071,,,,,,DD,,
PK,PKO,TSITIKA RIVER O,,,200,7500,1985,25,1307.523718,,,,,,DD,,
PK,PKO,EMBLEY CREEK O,,,25,250.25,2015,3,55.97988052,,,,,,red,,
PK,PKO,KLINAKLINI RIVER O,,,253,3500,2003,4455,982.88712,,,,,,DD,,
PK,PKO,KOKISH RIVER O,,,250,1500,2015,1865,461.1039635,,,,,,green,,
PK,PKO,KWALATE CREEK O,,,100,750,2005,189,267.0900144,,,,,,DD,,
PK,PKO,TSULQUATE RIVER O,,,75,750,2001,110,234.0475139,,,,,,DD,,
PK,PKO,NIMPKISH RIVER O,,,400,2000,2005,787,643.1365635,,,,,,DD,,
CM,CM,AHNUHATI RIVER,2812.982537,6274.664454,2500,12000,2014,18831.26315,5350.419461,2009,1.642759178,0.473935356,green,green,green,green,green
