year,species,odd_even,total.systems,no.counted,prop.counted
1953,Pink,O,68,36,0.529411765
1954,Pink,E,68,39,0.573529412
1955,Pink,O,68,37,0.544117647
1956,Pink,E,68,34,0.5
1957,Pink,O,68,31,0.455882353
1958,Pink,O,68,34,0.5
1959,Pink,E,68,26,0.382352941
1960,Pink,O,68,35,0.514705882
1961,Pink,E,68,30,0.441176471
1962,Pink,O,68,32,0.470588235
1963,Pink,O,68,25,0.367647059
1964,Pink,E,68,34,0.5
1965,Pink,O,68,27,0.397058824
1966,Pink,E,68,44,0.647058824
1967,Pink,O,68,26,0.382352941
1968,Pink,O,68,34,0.5
1969,Pink,E,68,18,0.264705882
1970,Pink,O,68,38,0.558823529
1971,Pink,E,68,27,0.397058824
1972,Pink,O,68,34,0.5
1973,Pink,O,68,29,0.426470588
1974,Pink,E,68,35,0.514705882
1975,Pink,O,68,29,0.426470588
1976,Pink,E,68,33,0.485294118
1977,Pink,O,68,20,0.294117647
1978,Pink,O,68,27,0.397058824
1979,Pink,E,68,18,0.264705882
1980,Pink,O,68,32,0.470588235
1981,Pink,E,68,21,0.308823529
1982,Pink,O,68,27,0.397058824
1983,Pink,O,68,27,0.397058824
1984,Pink,E,68,23,0.338235294
1985,Pink,O,68,29,0.426470588
1986,Pink,E,68,41,0.602941176
1987,Pink,O,68,23,0.338235294
1988,Pink,O,68,34,0.5
1989,Pink,E,68,21,0.308823529
1990,Pink,O,68,40,0.588235294
1991,Pink,E,68,19,0.279411765
1992,Pink,O,68,37,0.544117647
1993,Pink,O,68,18,0.264705882
1994,Pink,E,68,28,0.411764706
1995,Pink,O,68,23,0.338235294
1996,Pink,E,68,45,0.661764706
1997,Pink,O,68,26,0.382352941
1998,Pink,O,68,34,0.5
1999,Pink,E,68,11,0.161764706
2000,Pink,O,68,32,0.470588235
2001,Pink,E,68,20,0.294117647
2002,Pink,O,68,17,0.25
2003,Pink,O,68,16,0.235294118
2004,Pink,E,68,19,0.279411765
2005,Pink,O,68,17,0.25
2006,Pink,E,68,14,0.205882353
2007,Pink,O,68,15,0.220588235
2008,Pink,O,68,18,0.264705882
2009,Pink,E,68,19,0.279411765
2010,Pink,O,68,18,0.264705882
2011,Pink,E,68,15,0.220588235
2012,Pink,O,68,19,0.279411765
2013,Pink,O,68,18,0.264705882
2014,Pink,E,68,17,0.25
2015,Pink,O,68,7,0.102941176
2016,Pink,E,68,9,0.132352941
2017,Pink,O,68,4,0.058823529
1953,Chum,NA,64,49,0.765625
1954,Chum,NA,64,55,0.859375
1955,Chum,NA,64,54,0.84375
1956,Chum,NA,64,50,0.78125
1957,Chum,NA,64,43,0.671875
1958,Chum,NA,64,46,0.71875
1959,Chum,NA,64,38,0.59375
1960,Chum,NA,64,34,0.53125
